UPC,Brand Name,Product Name,Tags
11110596055,Ralph's,Mild Cheddar Cheese-Block,"Cheddar, Orange, Mild"
11110596062,Ralph's,Sharp Cheddar Cheese-Block,"Cheddar, Orange,Sharp"
11110596086,Ralph's,Medium Cheddar Cheese-Block,"Cheddar, Orange, Medium"
11110596109,Ralph's,Longhorn Style Mild Cheddar Cheese-Block,"Cheddar, Orange, Longhorn"
11110596116,Ralph's,Longhorn Style Colby Cheese,Colby
41380552734,Special Value,Mozzarella Cheese,Mozzarella
41380550471,Springfield,Mild Cheddar Cheese,"Cheddar, Orange, Mild"
41380552024,Springfield,"Low Moisture, Part Skim Mozarella Cheese",Mozzarella
41380552284
41380552468,Springfield,Monterey Jack Cheese,Jack
41380552499,Springfield,Longhorn Cheddar Cheese,"Cheddar, Orange, Longhorn"
41380552505,Springfield,Mozzarella Cheese,Mozzarella
41380552529,Springfield,Colby Jack Cheese,Marbled or Blend of Authorized Cheese
41380553274,Springfield,Medium Cheddar Cheese,"Cheddar, Orange, Medium"
74175446451,Stater Bros.,Mild Cheddar Cheese,"Cheddar, Orange, Mild"
74175446468,Stater Bros.,Medium Cheddar Cheese,"Cheddar, Orange, Medium"
74175446475,Stater Bros.,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp"
74175446482,Stater Bros.,Monterey Jack Cheese,Jack
74175446499,Stater Bros.,Longhorn Style Mild Cheddar Cheese,"Cheddar, Orange, Longhorn"
74175446505,Stater Bros.,Colby Jack Cheese,Marbled or Blend of Authorized Cheese
74175446512,Stater Bros.,Low-Moisture Part-Skim Mozzarella Cheese,Mozzarella
74175464608,Stater Bros.,Mozzarella Cheese-Ball,Mozzarella
7.17545E+11,Sunnyside Farms,String Cheese,"Mozzarella String, Individually wrapped sticks"
7.17545E+11,Sunnyside Farms,Montery Jack Chunk Reduced Fat,Jack
7.17545E+11,Sunnyside Farms,Mozzarella Ball Whl Mlk,Mozzarella
15400002646,Western Family,Mild Cheddar Cheese,"Cheddar, Orange, Mild"
15400002677,Western Family,Low-Moisture Part-Skim Mozzarella Cheese,Mozzarella
15400002721,Western Family,Medium Cheddar Cheese,"Cheddar, Orange, Medium"
15400003063,Western Family,Monterey Jack Cheese,Jack
15400003544,Western Family,Low-Moisture Park-Skim Mozzarella Cheese,Mozzarella
15400004060,Western Family,String Cheese Low Moisture Part Skim Mozzarella C,"Mozzarella String, Individually wrapped sticks"
15400004206,Western Family,Longhorn Style Mild Cheddar Cheese,"Cheddar, Orange, Longhorn"
15400004671,Western Family,Longhorn Style Colby and Monterey Jack Cheese,Marbled or Blend of Authorized Cheese
15400004688,Western Family,Sharp Cheddar Cheese,"Cheddar, Orange,Sharp"
74326000198,Azumaya,Lite Tofu,Lite Extra Firm
74326000136,Azumaya,Tofu,Extra Firm
74326000143,Azumaya,Tofu,Silken
74326000129,Azumaya,Tofu,Firm
37842072018,Frieda's,Firm Tofu,Firm
37842072022,Frieda's,Soft Tofu,Soft
76371012218,House Foods,Organic Tofu,Firm
73371012119,House Foods,Organic Tofu,Soft
76371012010,House Foods,Organic Tofu,Medium Firm
76371011099,House Foods,Premium Tofu,Firm
76371011020,House Foods,Premium Tofu,Medium Firm (Regular)
76371011051,House Foods,Premium Tofu,Soft Silken
25484000216,Nasoya,Lite Firm Tofu,Lite Firm
25484000209,Nasoya,Lite Silken Tofu,Lite Silken
25484000100,Nasoya,Organic Firm Tofu,Firm
25484000131,Nasoya,Organic Silken Tofu,Silken
25484000117,Nasoya,Organic Soft Tofu,Soft
79893401874,O Organics,Organic Firm Tofu,Firm
50012102605,Soy Boy,Organic Tofu Extra Firm,Extra Firm
50012101806,Soy Boy,Organic Tofu Firm,Firm
7.60327E+11,Tofu Shop,Organic Calcium Tofu,Regular
7.60327E+11,Tofu Shop,Organic Calcium Tofu,Soft
61954000232,Vitasoy SanSui,Firm Tofu,Firm
61954000225,Vitasoy SanSui,Regular Tofu,Regular
30871401002,Wildwood,Organic SprouTofu,Extra Firm
30871302156,Wildwood,Organic SprouTofu,Silken
030871302163*,Wildwood,Organic SprouTofu,Firm
30871000281,Wildwood,Organic SprouTofu,Medium Soft
30871302118,Wildwood,Organic SprouTofu 2 Pack,Extra Firm
27862020199,Wo Chong,Organic Soft Tofu,Soft
27862020205,Wo Chong,Organic Tofu,Firm
027862020144*,Wo Chong,Tofu,Extra Firm
027862020168*,Wo Chong,Tofu,Soft
27862020182,Wo Chong,Tofu,Silken
27862020120,Wo Chong,Tofu,Firm
53859070663,8th Continent,8th Continent Soymilk,Original
52603082006,Pacific Natural Foods,Ultra Soy,Plain
52200004050,Beech-Nut,Homestyle Multigrain Cereal
52200004159,Beech-Nut,Homestyle Oatmeal Cereal
52200004456,Beech-Nut,Homestyle Rice Cereal
23923900028,Earth's Best,Whole Grain Mulit-Grain Cereal
23923900172,Earth's Best,Whole Grain Oatmeal Cereal
23923900011,Earth's Best,Whole Grain Rice Cereal
15000007021,Gerber,Barley Cereal
15000070038,Gerber,MultiGrain Cereal
15000070526,Gerber,MultiGrain Cereal
